https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume IOTA,Volume USDT,tradecount
1698019200000,2023-10-23,IOTAUSDT,0.1519,0.1565,0.1486,0.1558,15878356.0,2411341.0218,15625
1697932800000,2023-10-22,IOTAUSDT,0.149,0.1524,0.1469,0.1518,11208205.0,1678234.0111,11359
1697846400000,2023-10-21,IOTAUSDT,0.1439,0.1506,0.1431,0.1489,7330906.0,1080354.0169,7229
1697760000000,2023-10-20,IOTAUSDT,0.1407,0.1451,0.1398,0.1439,10149719.0,1451330.2226,7370
1697673600000,2023-10-19,IOTAUSDT,0.1422,0.1426,0.138,0.1407,26547250.0,3714431.3999,20923
1697587200000,2023-10-18,IOTAUSDT,0.1479,0.1487,0.1398,0.1422,14976452.0,2144921.6543,12698
1697500800000,2023-10-17,IOTAUSDT,0.1476,0.1688,0.1421,0.1478,53533781.0,8183991.5282,44227
1697414400000,2023-10-16,IOTAUSDT,0.1439,0.1511,0.1439,0.1476,8535149.0,1254208.7135,10151
1697328000000,2023-10-15,IOTAUSDT,0.1444,0.147,0.1439,0.1439,2848484.0,413996.4053,3630
1697241600000,2023-10-14,IOTAUSDT,0.1434,0.1472,0.1429,0.1444,3316531.0,482166.5297,3763
1697155200000,2023-10-13,IOTAUSDT,0.139,0.1452,0.1389,0.1433,7303003.0,1034925.629,6660
1697068800000,2023-10-12,IOTAUSDT,0.1408,0.1409,0.137,0.1391,5209083.0,724597.7325,5043
1696982400000,2023-10-11,IOTAUSDT,0.1449,0.1453,0.1382,0.1409,6957784.0,980669.5693,8532
1696896000000,2023-10-10,IOTAUSDT,0.1491,0.1499,0.1429,0.1449,5730886.0,842704.4897,5278
1696809600000,2023-10-09,IOTAUSDT,0.1553,0.1567,0.1466,0.149,6801599.0,1027409.365,7574
1696723200000,2023-10-08,IOTAUSDT,0.1547,0.1577,0.1523,0.1553,5453893.0,845972.7576,5473
1696636800000,2023-10-07,IOTAUSDT,0.154,0.1552,0.1533,0.1547,3015307.0,465320.89,3705
1696550400000,2023-10-06,IOTAUSDT,0.1516,0.1555,0.1504,0.154,3527306.0,539287.1627,5199
1696464000000,2023-10-05,IOTAUSDT,0.1541,0.1545,0.1502,0.1516,3303032.0,501815.5369,4493
1696377600000,2023-10-04,IOTAUSDT,0.1519,0.1565,0.1467,0.154,11057014.0,1679012.5963,13281
1696291200000,2023-10-03,IOTAUSDT,0.1508,0.1532,0.1501,0.1519,7051636.0,1067338.5342,6895
1696204800000,2023-10-02,IOTAUSDT,0.1574,0.1578,0.1447,0.1509,9609114.0,1474666.4801,9606
1696118400000,2023-10-01,IOTAUSDT,0.151,0.1586,0.1508,0.1571,7325560.0,1133076.463,6793
1696032000000,2023-09-30,IOTAUSDT,0.1519,0.1526,0.1504,0.151,4272894.0,645856.8729,3585
1695945600000,2023-09-29,IOTAUSDT,0.1527,0.1534,0.1497,0.1519,5159485.0,782376.9,5689
